Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
PRKCI	5584	3	Yes	Yes	No	Yes	No	No	No
PRKD1	5587	2	Yes	Yes	No	No	No	No	No
PRKDC	5591	2	No	No	No	Yes	Yes	No	No
MAPK1	5594	5	Yes	Yes	Yes	No	Yes	No	Yes
MAPK3	5595	3	Yes	Yes	Yes	No	No	No	No
MAP2K1	5604	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MAP2K2	5605	6	Yes	Yes	Yes	Yes	Yes	No	Yes
PRSS1	5644	1	Yes	No	No	No	No	No	No
RELN	5649	1	No	No	No	No	Yes	No	No
PRSS8	5652	2	No	No	No	Yes	Yes	No	No
PTCH1	5727	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PTEN	5728	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PTK6	5753	1	No	No	No	No	No	No	Yes
PTK7	5754	1	No	No	No	No	Yes	No	No
PTPN1	5770	2	Yes	No	Yes	No	No	No	No
PTPN2	5771	3	Yes	No	Yes	No	Yes	No	No
PTPN6	5777	1	No	No	No	No	Yes	No	No
PTPN11	5781	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PTPN13	5783	1	No	No	No	No	No	No	Yes
PTPRB	5787	1	No	No	No	No	No	No	Yes
PTPRC	5788	1	No	No	No	No	No	No	Yes
PTPRD	5789	2	Yes	Yes	No	No	No	No	No
PTPRK	5796	1	No	No	No	No	No	No	Yes
PTPRO	5800	1	No	No	No	No	Yes	No	No
PTPRS	5802	2	Yes	Yes	No	No	No	No	No
RAC1	5879	4	Yes	Yes	No	Yes	No	No	Yes
RAC2	5880	2	Yes	Yes	No	No	No	No	No
RAD21	5885	5	Yes	Yes	Yes	No	Yes	No	Yes
RAD51	5888	5	Yes	Yes	Yes	Yes	Yes	No	No
RAD51C	5889	3	Yes	Yes	Yes	No	No	No	No
RAD51B	5890	4	Yes	Yes	Yes	No	No	No	Yes
RAD51D	5892	3	Yes	Yes	Yes	No	No	No	No
RAD52	5893	3	Yes	Yes	Yes	No	No	No	No
RAF1	5894	6	Yes	Yes	Yes	Yes	Yes	No	Yes
RALGDS	5900	2	No	No	No	No	Yes	No	Yes
RANBP2	5903	2	No	No	No	Yes	No	No	Yes
RAP1GDS1	5910	2	No	No	No	No	Yes	No	Yes
RARA	5914	6	Yes	Yes	Yes	Yes	Yes	No	Yes
RASA1	5921	2	Yes	Yes	No	No	No	No	No
RB1	5925	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ARID4A	5926	2	Yes	No	Yes	No	No	No	No
KDM5A	5927	6	Yes	Yes	Yes	Yes	Yes	No	Yes
RECQL	5965	2	Yes	Yes	No	No	No	No	No
REL	5966	4	Yes	Yes	Yes	No	No	No	Yes
UPF1	5976	2	Yes	Yes	No	No	No	No	No
RET	5979	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TRIM27	5987	1	No	No	No	No	No	No	Yes
RHEB	6009	2	Yes	Yes	No	No	No	No	No
RIT1	6016	2	Yes	Yes	No	No	No	No	No
ROBO1	6091	2	Yes	No	Yes	No	No	No	No
ROS1	6098	6	Yes	Yes	Yes	Yes	Yes	No	Yes
RPL5	6125	1	No	No	No	No	No	No	Yes
RPL10	6134	1	No	No	No	No	No	No	Yes
RPL22	6146	2	No	No	No	No	Yes	No	Yes
RPN1	6184	2	No	No	No	No	Yes	No	Yes
RPS6KB2	6199	2	Yes	Yes	No	No	No	No	No
RRAS	6237	2	Yes	Yes	No	No	No	No	No
CLIP1	6249	1	No	No	No	No	No	No	Yes
RXRA	6256	2	Yes	Yes	No	No	No	No	No
ATXN2	6311	2	Yes	No	Yes	No	No	No	No
SDC4	6385	1	No	No	No	No	No	No	Yes
SDHA	6389	6	Yes	Yes	Yes	Yes	Yes	No	Yes
SDHB	6390	6	Yes	Yes	Yes	Yes	Yes	No	Yes
SDHC	6391	6	Yes	Yes	Yes	Yes	Yes	No	Yes
SDHD	6392	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MAP2K4	6416	6	Yes	Yes	Yes	Yes	Yes	No	Yes
SET	6418	2	No	No	No	No	Yes	No	Yes
SFRP4	6424	1	No	No	No	No	No	No	Yes
SRSF2	6427	6	Yes	Yes	Yes	No	Yes	Yes	Yes
SRSF3	6428	2	No	No	No	No	Yes	No	Yes
SGK1	6446	3	Yes	No	Yes	No	Yes	No	No
SH3GL1	6455	2	No	No	No	No	Yes	No	Yes
STIL	6491	1	No	No	No	No	No	No	Yes
SLC1A2	6506	1	No	No	No	No	Yes	No	No
SMARCA1	6594	1	No	No	No	No	Yes	No	No
SMARCA4	6597	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMARCB1	6598	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMARCD1	6602	4	Yes	Yes	Yes	No	No	No	Yes
SMARCE1	6605	1	No	No	No	No	No	No	Yes
SMO	6608	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SOS1	6654	2	Yes	Yes	No	No	No	No	No
SOX2	6657	6	Yes	Yes	Yes	Yes	Yes	No	Yes
SOX9	6662	4	Yes	Yes	No	Yes	No	Yes	No
SOX10	6663	2	No	No	No	Yes	Yes	No	No
SPTA1	6708	1	No	No	No	Yes	No	No	No
SRC	6714	6	Yes	Yes	Yes	Yes	Yes	No	Yes
SSX1	6756	2	No	No	No	No	Yes	No	Yes
SSX2	6757	2	No	No	No	No	Yes	No	Yes
SSX4	6759	2	No	No	No	No	Yes	No	Yes
SS18	6760	2	No	No	No	No	Yes	No	Yes
STAT3	6774	6	Yes	Yes	Yes	Yes	Yes	No	Yes
STAT4	6775	2	No	No	No	Yes	Yes	No	No
STAT5A	6776	4	Yes	Yes	Yes	No	Yes	No	No
STAT5B	6777	5	Yes	Yes	Yes	No	Yes	No	Yes
STAT6	6778	4	Yes	No	Yes	No	Yes	No	Yes
AURKA	6790	5	Yes	Yes	Yes	Yes	Yes	No	No
STK11	6794	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
STRN	6801	1	No	No	No	No	No	No	Yes
SYK	6850	6	Yes	Yes	Yes	Yes	Yes	No	Yes
TAF1	6872	2	No	No	No	Yes	Yes	No	No
MAP3K7	6885	1	No	No	No	No	Yes	No	No
TAL1	6886	2	No	No	No	No	Yes	No	Yes
TAL2	6887	2	No	No	No	No	Yes	No	Yes
TAP1	6890	2	Yes	Yes	No	No	No	No	No
TAP2	6891	2	Yes	Yes	No	No	No	No	No
TCEA1	6917	1	No	No	No	No	No	No	Yes
TCEB1	6921	2	Yes	Yes	No	No	No	No	No
TBX3	6926	5	Yes	Yes	Yes	Yes	No	No	Yes
HNF1A	6927	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TCF3	6929	4	Yes	Yes	No	No	Yes	No	Yes
TCF7L2	6934	3	Yes	Yes	No	No	No	No	Yes
TCF12	6938	1	No	No	No	No	No	No	Yes
TRA	6955	1	No	No	No	No	No	No	Yes
TRB	6957	1	No	No	No	No	No	No	Yes
TRD	6964	1	No	No	No	No	No	No	Yes
TRG	6965	1	No	No	No	No	Yes	No	No
TEK	7010	2	Yes	Yes	No	No	No	No	No
TERC	7012	1	No	No	No	Yes	No	No	No
TERT	7015	5	Yes	Yes	Yes	Yes	No	No	Yes
TFE3	7030	2	No	No	No	No	Yes	No	Yes
TFRC	7037	2	No	No	No	No	Yes	No	Yes
TGFBR1	7046	2	Yes	Yes	No	No	No	No	No
TGFBR2	7048	6	Yes	Yes	Yes	Yes	Yes	No	Yes
NKX2-1	7080	6	Yes	Yes	Yes	Yes	Yes	No	Yes
TLL2	7093	1	No	No	No	No	Yes	No	No
TMPRSS2	7113	5	Yes	Yes	No	Yes	Yes	No	Yes
TMSB4XP8	7117	1	No	No	No	No	Yes	No	No
TNFAIP3	7128	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TOP1	7150	6	Yes	Yes	Yes	Yes	Yes	No	Yes
TOP2A	7153	1	No	No	No	Yes	No	No	No
TP53	7157	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TP53BP1	7158	2	Yes	Yes	No	No	No	No	No
TPM3	7170	2	No	No	No	No	Yes	No	Yes
TPM4	7171	2	No	No	No	No	Yes	No	Yes
TPR	7175	1	No	No	No	No	No	No	Yes
TRAF2	7186	4	Yes	Yes	Yes	No	Yes	No	No
TRAF3	7187	3	Yes	No	Yes	No	Yes	No	No
TRAF5	7188	3	Yes	No	Yes	No	Yes	No	No
TSC1	7248	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TSC2	7249	6	Yes	Yes	Yes	Yes	Yes	No	Yes
TSHR	7253	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
TYK2	7297	3	Yes	No	Yes	No	Yes	No	No
U2AF1	7307	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
KDM6A	7403	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
VAV1	7409	2	Yes	No	Yes	No	No	No	No
VAV2	7410	2	Yes	No	Yes	No	No	No	No
VEGFA	7422	3	Yes	Yes	No	Yes	No	No	No
VHL	7428	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
EZR	7430	1	No	No	No	No	No	No	Yes
WAS	7454	1	No	No	No	No	No	No	Yes
WHSC1	7468	5	Yes	Yes	Yes	No	Yes	No	Yes
WRN	7486	1	No	No	No	No	No	No	Yes
WT1	7490	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
XBP1	7494	3	Yes	No	Yes	No	Yes	No	No
XPA	7507	1	No	No	No	No	No	No	Yes
XPC	7508	1	No	No	No	No	No	No	Yes
XPO1	7514	6	Yes	Yes	Yes	Yes	Yes	No	Yes
XRCC2	7516	2	Yes	Yes	No	No	No	No	No
YES1	7525	2	Yes	Yes	No	No	No	No	No
YWHAE	7531	1	No	No	No	No	No	No	Yes
CNBP	7555	1	No	No	No	No	No	No	Yes
ZNF24	7572	1	No	No	No	No	Yes	No	No
ZBTB16	7704	2	No	No	No	No	Yes	No	Yes
ZMYM2	7750	2	No	No	No	No	Yes	No	Yes
ZNF217	7764	2	No	No	No	Yes	Yes	No	No
PTP4A1	7803	2	Yes	Yes	No	No	No	No	No
CSDE1	7812	2	Yes	Yes	No	No	No	No	No
BTG2	7832	1	No	No	No	No	Yes	No	No
PAX8	7849	2	Yes	No	No	No	No	No	Yes
CXCR4	7852	5	Yes	Yes	Yes	No	Yes	No	Yes
DEK	7913	2	No	No	No	No	Yes	No	Yes
TFEB	7942	1	No	No	No	No	No	No	Yes
RNF217-AS1	7955	2	No	No	No	No	Yes	No	Yes
TUSC3	7991	1	No	No	No	No	Yes	No	No
KAT6A	7994	3	No	No	No	Yes	Yes	No	Yes
NR4A3	8013	2	No	No	No	No	Yes	No	Yes
BRD3	8019	1	No	No	No	No	No	No	Yes
NUP214	8021	2	No	No	No	No	Yes	No	Yes
MLLT10	8028	2	No	No	No	No	Yes	No	Yes
CCDC6	8030	1	No	No	No	No	No	No	Yes
NCOA4	8031	1	No	No	No	No	No	No	Yes
SHOC2	8036	2	Yes	Yes	No	No	No	No	No
FGF23	8074	2	No	No	No	Yes	Yes	No	No
KMT2D	8085	6	Yes	Yes	Yes	Yes	No	Yes	Yes
HMGA2	8091	2	No	No	No	No	Yes	No	Yes
TCL1A	8115	2	No	No	No	No	Yes	No	Yes
TAF15	8148	2	No	No	No	No	Yes	No	Yes
ELL	8178	2	No	No	No	No	Yes	No	Yes
NCOA3	8202	2	Yes	Yes	No	No	No	No	No
LZTR1	8216	2	No	No	No	Yes	No	No	Yes
CLTCL1	8218	2	No	No	No	No	Yes	No	Yes
ZRSR2	8233	5	Yes	Yes	Yes	No	Yes	No	Yes
RBM10	8241	4	Yes	Yes	No	Yes	No	No	Yes
KDM5C	8242	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMC1A	8243	3	Yes	No	Yes	No	Yes	No	No
ARID1A	8289	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
HIST3H3	8290	2	Yes	Yes	No	No	No	No	No
HIST1H4I	8294	2	No	No	No	No	Yes	No	Yes
TRRAP	8295	1	No	No	No	No	No	No	Yes
PICALM	8301	2	No	No	No	No	Yes	No	Yes
AXIN1	8312	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AXIN2	8313	3	Yes	Yes	No	No	No	No	Yes
BAP1	8314	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
HIST1H2AL	8332	3	Yes	No	Yes	No	Yes	No	No
HIST1H2AC	8334	3	Yes	No	Yes	No	Yes	No	No
HIST1H2AM	8336	3	Yes	No	Yes	No	Yes	No	No
HIST1H2BG	8339	2	Yes	No	Yes	No	No	No	No
HIST1H2BC	8347	3	Yes	No	Yes	No	Yes	No	No
HIST1H2BO	8348	3	Yes	No	Yes	No	Yes	No	No
HIST1H3A	8350	2	Yes	Yes	No	No	No	No	No
HIST1H3D	8351	2	Yes	Yes	No	No	No	No	No
HIST1H3C	8352	2	Yes	Yes	No	No	No	No	No
HIST1H3E	8353	2	Yes	Yes	No	No	No	No	No
HIST1H3I	8354	2	Yes	Yes	No	No	No	No	No
HIST1H3G	8355	3	Yes	Yes	Yes	No	No	No	No
HIST1H3J	8356	2	Yes	Yes	No	No	No	No	No
HIST1H3H	8357	2	Yes	Yes	No	No	No	No	No
HIST1H3B	8358	6	Yes	Yes	Yes	No	Yes	Yes	Yes
SPOP	8405	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
RAD54L	8438	3	Yes	Yes	Yes	No	No	No	No
CUL3	8452	3	Yes	Yes	No	Yes	No	No	No
PPM1D	8493	3	Yes	Yes	No	No	No	No	Yes
PPFIBP1	8496	1	No	No	No	No	No	No	Yes
PIK3R3	8503	2	Yes	Yes	No	No	No	No	No
GAS7	8522	2	No	No	No	No	Yes	No	Yes
ASMTL	8623	1	No	No	No	No	Yes	No	No
TP63	8626	5	Yes	Yes	Yes	No	Yes	No	Yes
NCOA1	8648	1	No	No	No	No	No	No	Yes
SOCS1	8651	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
IRS2	8660	5	Yes	Yes	Yes	Yes	Yes	No	No
EED	8726	4	Yes	Yes	Yes	No	Yes	No	No
TNFRSF14	8764	6	Yes	Yes	Yes	Yes	Yes	No	Yes
TNFRSF11A	8792	1	No	No	No	No	Yes	No	No
TRIM24	8805	2	No	No	No	No	Yes	No	Yes
INPP4B	8821	5	Yes	Yes	Yes	Yes	Yes	No	No
GMPS	8833	2	No	No	No	No	Yes	No	Yes
SOCS2	8835	1	No	No	No	No	Yes	No	No
WISP3	8838	2	No	No	No	Yes	Yes	No	No
STK19	8859	2	Yes	Yes	No	No	No	No	No
FUBP1	8880	5	Yes	Yes	No	Yes	No	Yes	Yes
BCL10	8915	5	Yes	Yes	Yes	No	Yes	No	Yes
PHOX2B	8929	3	Yes	Yes	No	No	No	No	Yes
HIST1H3F	8968	2	Yes	Yes	No	No	No	No	No
HIST1H2AG	8969	3	Yes	No	Yes	No	Yes	No	No
HIST1H2BJ	8970	3	Yes	No	Yes	No	Yes	No	No
MGAM	8972	2	Yes	No	Yes	No	No	No	No
RPS6KA4	8986	2	Yes	Yes	No	No	No	No	No
MAP3K14	9020	4	Yes	Yes	Yes	No	Yes	No	No
SOCS3	9021	1	No	No	No	No	Yes	No	No
MAP3K6	9064	1	No	No	No	No	Yes	No	No
USP6	9098	2	No	No	No	No	Yes	No	Yes
USP8	9101	1	No	No	No	No	No	No	Yes
LATS1	9113	2	Yes	Yes	No	No	No	No	No
SMC3	9126	3	Yes	No	Yes	No	Yes	No	No
RABEP1	9135	2	No	No	No	No	Yes	No	Yes
PCSK7	9159	2	No	No	No	No	Yes	No	Yes
MAP3K13	9175	4	Yes	Yes	Yes	No	No	No	Yes
ZMYM3	9203	1	No	No	No	No	Yes	No	No
AURKB	9212	5	Yes	Yes	Yes	Yes	Yes	No	No
S1PR2	9294	1	No	No	No	No	Yes	No	No
KLF4	9314	4	Yes	Yes	No	No	No	Yes	Yes
TRIP11	9321	2	No	No	No	No	Yes	No	Yes
SLIT2	9353	1	No	No	No	Yes	No	No	No
RECQL4	9401	3	Yes	Yes	No	No	No	No	Yes
QKI	9444	2	No	No	No	Yes	No	No	Yes
ATG5	9474	1	No	No	No	No	Yes	No	No
MAGED1	9500	1	No	No	No	No	Yes	No	No
APOBEC3B	9582	1	No	No	No	No	No	No	Yes
NCOR1	9611	5	Yes	Yes	Yes	No	No	Yes	Yes
NCOR2	9612	4	Yes	No	Yes	No	Yes	No	Yes
SNCAIP	9627	1	No	No	No	Yes	No	No	No
IKBKE	9641	5	Yes	Yes	Yes	Yes	Yes	No	No
MDC1	9656	2	Yes	Yes	No	No	No	No	No
PDE4DIP	9659	2	No	No	No	No	Yes	No	Yes
NUP93	9688	4	Yes	Yes	No	Yes	Yes	No	No
HERPUD1	9709	2	No	No	No	No	Yes	No	Yes
FAM131B	9715	1	No	No	No	No	No	No	Yes
SETD1A	9739	2	Yes	No	Yes	No	No	No	No
KMT2B	9757	4	Yes	Yes	Yes	No	Yes	No	No
HDAC4	9759	3	Yes	No	Yes	No	Yes	No	No
KEAP1	9817	6	Yes	Yes	Yes	Yes	Yes	No	Yes
MAGI2	9863	1	No	No	No	Yes	No	No	No
SETDB1	9869	2	Yes	No	Yes	No	No	No	No
SRGAP3	9901	1	No	No	No	No	No	No	Yes
MAFB	9935	2	No	No	No	No	Yes	No	Yes
GOLGA5	9950	1	No	No	No	No	No	No	Yes
FGF19	9965	5	Yes	Yes	Yes	Yes	Yes	No	No
THRAP3	9967	1	No	No	No	No	No	No	Yes
MED12	9968	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
AKT3	10000	5	Yes	Yes	Yes	Yes	Yes	No	No
ABI1	10006	2	No	No	No	No	Yes	No	Yes
BCL2L11	10018	2	Yes	Yes	No	No	No	No	No
SH2B3	10019	4	Yes	Yes	Yes	No	No	No	Yes
RAD50	10111	5	Yes	Yes	Yes	Yes	Yes	No	No
ARFRP1	10139	2	No	No	No	Yes	Yes	No	No
AKAP9	10142	1	No	No	No	No	No	No	Yes
LHFP	10186	1	No	No	No	No	No	No	Yes
OLIG2	10215	1	No	No	No	No	No	No	Yes
GPHN	10243	2	No	No	No	No	Yes	No	Yes
FSTL3	10272	2	No	No	No	No	Yes	No	Yes
STAG1	10274	2	Yes	No	Yes	No	No	No	No
IKZF1	10320	6	Yes	Yes	Yes	Yes	Yes	No	Yes
TFG	10342	2	No	No	No	No	Yes	No	Yes
NOD1	10392	1	No	No	No	No	Yes	No	No
NDRG1	10397	2	No	No	No	No	Yes	No	Yes
YAP1	10413	2	Yes	Yes	No	No	No	No	No
HOXB13	10481	2	Yes	Yes	No	No	No	No	No
CARM1	10498	2	Yes	Yes	No	No	No	No	No
NCOA2	10499	2	No	No	No	No	Yes	No	Yes
SLC34A2	10568	1	No	No	No	No	No	No	Yes
ARID3B	10620	2	Yes	No	Yes	No	No	No	No
CTCF	10664	6	Yes	Yes	Yes	Yes	Yes	No	Yes
GNA13	10672	4	Yes	No	Yes	Yes	Yes	No	No
CCT6B	10693	1	No	No	No	No	Yes	No	No
STAG2	10735	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PLK2	10769	2	Yes	Yes	No	No	No	No	No
SEPT9	10801	2	No	No	No	No	Yes	No	Yes
FRS2	10818	2	No	No	No	Yes	Yes	No	No
ARID5A	10865	2	Yes	No	Yes	No	No	No	No
MALT1	10892	5	Yes	Yes	Yes	No	Yes	No	Yes
PNRC1	10957	3	Yes	Yes	Yes	No	No	No	No
MLLT11	10962	1	No	No	No	No	No	No	Yes
CLP1	10978	2	No	No	No	No	Yes	No	Yes
RAB35	11021	2	Yes	Yes	No	No	No	No	No
CNTRL	11064	2	No	No	No	No	Yes	No	Yes
FGFR1OP	11116	2	No	No	No	No	Yes	No	Yes
PTPRT	11122	3	Yes	Yes	No	No	No	No	Yes
FAF1	11124	1	No	No	No	No	Yes	No	No
PSIP1	11168	2	No	No	No	No	Yes	No	Yes
WIF1	11197	1	No	No	No	No	No	No	Yes
CHEK2	11200	6	Yes	Yes	Yes	Yes	Yes	No	Yes
SP140	11262	2	Yes	No	Yes	No	No	No	No
U2AF2	11338	3	Yes	No	Yes	No	Yes	No	No
RRAS2	22800	2	Yes	Yes	No	No	No	No	No
IKZF3	22806	3	Yes	No	Yes	No	Yes	No	No
IKZF2	22807	1	No	No	No	No	Yes	No	No
ICK	22858	1	No	No	No	No	Yes	No	No
SEC31A	22872	1	No	No	No	No	Yes	No	No
DIS3	22894	3	Yes	Yes	Yes	No	No	No	No
DUX4L1	22947	1	No	No	No	No	No	No	Yes
NT5C2	22978	4	Yes	No	Yes	No	Yes	No	Yes
PDCD11	22984	1	No	No	No	No	Yes	No	No
SPEN	23013	6	Yes	Yes	Yes	Yes	Yes	No	Yes
PDS5B	23047	2	Yes	No	Yes	No	No	No	No
FNBP1	23048	2	No	No	No	No	Yes	No	Yes
SMG1	23049	2	Yes	No	Yes	No	No	No	No
SETD1B	23067	2	Yes	No	Yes	No	No	No	No
KDM4C	23081	1	No	No	No	No	Yes	No	No
ERC1	23085	1	No	No	No	No	No	No	Yes
ARHGAP26	23092	2	No	No	No	No	Yes	No	Yes
CIC	23152	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SEPT6	23157	2	No	No	No	No	Yes	No	Yes
PASK	23178	1	No	No	No	No	Yes	No	No
CAMTA1	23261	2	No	No	No	No	Yes	No	Yes
MGA	23269	3	Yes	Yes	Yes	No	No	No	No
ACSL6	23305	2	No	No	No	No	Yes	No	Yes
ICOSLG	23308	2	Yes	Yes	No	No	No	No	No
ARHGEF12	23365	2	No	No	No	No	Yes	No	Yes
CRTC1	23373	1	No	No	No	No	No	No	Yes
NCSTN	23385	3	Yes	No	Yes	No	Yes	No	No
DICER1	23405	4	Yes	Yes	No	Yes	No	No	Yes
RYBP	23429	2	Yes	Yes	No	No	No	No	No
SF3B1	23451	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
HEY1	23462	2	No	No	No	No	Yes	No	Yes
BRD4	23476	6	Yes	Yes	Yes	Yes	Yes	No	Yes
SUZ12	23512	5	Yes	Yes	Yes	No	Yes	No	Yes
KAT6B	23522	1	No	No	No	No	No	No	Yes
PATZ1	23598	1	No	No	No	No	No	No	Yes
CBLC	23624	1	No	No	No	No	No	No	Yes
POT1	25913	4	Yes	No	Yes	No	Yes	No	Yes
ZNF521	25925	2	No	No	No	No	Yes	No	Yes
WWTR1	25937	3	Yes	Yes	No	No	No	No	Yes
SAMHD1	25939	2	Yes	No	Yes	No	No	No	No
ADGRA2	25960	2	No	No	No	Yes	Yes	No	No
SS18L1	26039	1	No	No	No	No	No	No	Yes
SETBP1	26040	4	No	No	Yes	No	Yes	Yes	Yes
LSM14A	26065	1	No	No	No	No	No	No	Yes
CHIC2	26511	2	No	No	No	No	Yes	No	Yes
LATS2	26524	2	Yes	Yes	No	No	No	No	No
GREM1	26585	2	Yes	Yes	No	No	No	No	No
TCL6	27004	1	No	No	No	No	No	No	Yes
SND1	27044	1	No	No	No	No	No	No	Yes
FOXP1	27086	6	Yes	Yes	Yes	Yes	Yes	No	Yes
BBC3	27113	2	Yes	Yes	No	No	No	No	No
AFF4	27125	2	No	No	No	No	Yes	No	Yes
AGO2	27161	2	Yes	Yes	No	No	No	No	No
SESN1	27244	2	Yes	Yes	No	No	No	No	No
EML4	27436	2	No	No	No	No	Yes	No	Yes
PCLO	27445	1	No	No	No	No	Yes	No	No
SETD2	29072	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
BABAM1	29086	2	Yes	Yes	No	No	No	No	No
DROSHA	29102	3	Yes	Yes	No	No	No	No	Yes
ANKRD11	29123	2	Yes	Yes	No	No	No	No	No
CD274	29126	6	Yes	Yes	Yes	Yes	Yes	No	Yes
TFPT	29844	2	No	No	No	No	Yes	No	Yes
TLX3	30012	2	No	No	No	No	Yes	No	Yes
IL21R	50615	2	No	No	No	No	Yes	No	Yes
IGK	50802	2	No	No	No	No	Yes	No	Yes
APH1A	51107	1	No	No	No	No	Yes	No	No
SBDS	51119	1	No	No	No	No	No	No	Yes
EGFL7	51162	2	Yes	Yes	No	No	No	No	No
LEF1	51176	2	No	No	No	No	Yes	No	Yes
CRBN	51185	2	Yes	No	Yes	No	No	No	No
NIN	51199	2	No	No	No	No	Yes	No	Yes
UBR5	51366	3	Yes	No	Yes	No	No	No	Yes
GTSE1	51512	1	No	No	No	No	Yes	No	No
NCKIPSD	51517	1	No	No	No	No	No	No	Yes
HDAC7	51564	3	Yes	No	Yes	No	Yes	No	No
TRIM33	51592	1	No	No	No	No	No	No	Yes
YPEL5	51646	1	No	No	No	No	Yes	No	No
SUFU	51684	6	Yes	Yes	Yes	Yes	Yes	No	Yes
ARID4B	51742	2	Yes	No	Yes	No	No	No	No
RTEL1	51750	3	Yes	Yes	Yes	No	No	No	No
CDK12	51755	6	Yes	Yes	Yes	Yes	Yes	No	Yes
BCL11A	53335	2	No	No	No	No	Yes	No	Yes
LRP1B	53353	3	No	No	No	Yes	Yes	No	Yes
SETD4	54093	2	Yes	No	Yes	No	No	No	No
DCUN1D1	54165	2	Yes	Yes	No	No	No	No	No
ERRFI1	54206	3	Yes	Yes	No	Yes	No	No	No
FEV	54738	2	No	No	No	No	Yes	No	Yes
TET2	54790	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FAM46C	54855	6	Yes	Yes	Yes	Yes	Yes	No	Yes
BCOR	54880	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
RNF43	54894	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
WHSC1L1	54904	4	Yes	Yes	No	No	Yes	No	Yes
SDHAF2	54949	3	Yes	Yes	No	No	No	No	Yes
FANCL	55120	2	No	No	No	Yes	Yes	No	No
SHQ1	55164	2	Yes	Yes	No	No	No	No	No
PBRM1	55193	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SETD5	55209	2	Yes	No	Yes	No	No	No	No
YY1AP1	55249	1	No	No	No	No	Yes	No	No
ELP2	55250	1	No	No	No	No	Yes	No	No
ASXL2	55252	3	Yes	Yes	Yes	No	No	No	No
FBXW7	55294	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ZNF331	55422	1	No	No	No	No	No	No	Yes
ETNK1	55500	3	Yes	No	Yes	No	No	No	Yes
ZCCHC8	55596	1	No	No	No	No	No	No	Yes
TMEM127	55654	3	Yes	Yes	No	No	No	No	Yes
TMEM30A	55754	1	No	No	No	No	Yes	No	No
PAG1	55824	1	No	No	No	No	Yes	No	No
PAK6	56924	0	No	No	No	No	No	No	No
DUSP22	56940	3	Yes	No	Yes	No	Yes	No	No
EMSY	56946	1	No	No	No	Yes	No	No	No
ACKR3	57007	1	No	No	No	No	No	No	Yes
CASC5	57082	1	No	No	No	No	No	No	Yes
CYSLTR2	57105	2	Yes	Yes	No	No	No	No	No
GOPC	57120	1	No	No	No	No	No	No	Yes
PAK5	57144	3	Yes	Yes	Yes	No	No	No	No
SALL4	57167	1	No	No	No	No	No	No	Yes
ARID1B	57492	6	Yes	Yes	Yes	Yes	No	Yes	Yes
RPTOR	57521	5	Yes	Yes	Yes	Yes	Yes	No	No
MIB1	57534	1	No	No	No	No	Yes	No	No
MKL1	57591	2	No	No	No	No	Yes	No	Yes
ZBTB2	57621	1	No	No	No	Yes	No	No	No
EP400	57634	2	Yes	No	Yes	No	No	No	No
KIAA1549	57670	1	No	No	No	No	No	No	Yes
RNF213	57674	2	No	No	No	No	Yes	No	Yes
